City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,20,US,1612983720,68,19.7297,-155.09,71.01,5.75
Puerto Ayora,75,EC,1612983808,83,-0.7393,-90.3518,80.6,3.44
Dikson,94,RU,1612983808,89,73.5069,80.5464,-20.83,7.96
Atuona,2,PF,1612983808,75,-9.8,-139.0333,79.18,17.27
Kushiro,1,JP,1612983809,93,42.975,144.3747,15.8,4.43
San Rafael,81,AR,1612983608,45,-34.6177,-68.3301,76.23,8.03
Barrow,75,US,1612983809,69,71.2906,-156.7887,-22.0,10.36
Hobart,0,AU,1612983623,82,-42.8794,147.3294,53.6,10.36
Aklavik,0,CA,1612983809,68,68.2191,-135.0107,-29.2,4.61
Bambous Virieux,40,MU,1612983809,74,-20.3428,57.7575,80.6,11.5
Punta Arenas,0,CL,1612983809,55,-53.15,-70.9167,66.2,10.36
Zhenhaicun,90,CN,1612983809,94,24.2582,118.0905,59.0,4.47
Port Alfred,16,ZA,1612983809,93,-33.5906,26.891,73.99,1.99
Batagay-Alyta,26,RU,1612983809,88,67.8006,130.4114,-7.87,1.43
Vestmannaeyjar,40,IS,1612983809,81,63.4427,-20.2734,37.4,31.07
Naze,100,JP,1612983810,69,28.3667,129.4833,58.33,14.23
Bredasdorp,71,ZA,1612983810,77,-34.5322,20.0403,68.0,9.22
Chui,42,UY,1612983810,71,-33.6971,-53.4616,76.77,12.08
Nueva Loja,75,EC,1612983810,58,0.0847,-76.8828,91.4,5.75
Ribeira Grande,40,PT,1612983810,77,38.5167,-28.7,59.0,25.32
Kapaa,40,US,1612983806,49,22.0752,-159.319,73.4,14.97
Rikitea,52,PF,1612983810,72,-23.1203,-134.9692,79.05,11.23
Ellwangen,100,DE,1612983810,86,48.9616,10.1317,19.0,8.23
Hasaki,20,JP,1612983810,65,35.7333,140.8333,37.4,3.44
Busselton,3,AU,1612983810,97,-33.65,115.3333,55.0,8.59
Novobirilyussy,100,RU,1612983810,90,56.9514,90.6661,-5.84,5.93
Hithadhoo,47,MV,1612983811,76,-0.6,73.0833,82.06,11.36
Albany,100,US,1612983615,44,42.6001,-73.9662,28.99,3.0
Mishan,70,CN,1612983811,94,45.55,131.8833,10.17,6.29
Riviere-au-Renard,40,CA,1612983811,45,48.9957,-64.3971,19.4,12.66
Hermanus,6,ZA,1612983804,79,-34.4187,19.2345,70.0,4.0
New Norfolk,0,AU,1612983811,69,-42.7826,147.0587,52.0,2.64
Kiunga,100,PG,1612983811,98,-6.1219,141.2906,73.36,2.73
George Town,20,MY,1612983811,78,5.4112,100.3354,82.4,2.3
Ponta do Sol,73,PT,1612983811,79,32.6667,-17.1,61.0,3.0
Kichera,0,RU,1612983811,81,55.9375,110.0997,1.47,8.75
Bilibino,86,RU,1612983812,85,68.0546,166.4372,-8.95,2.59
Caohe,100,CN,1612983812,74,30.2297,115.4335,54.0,2.39
Bara,29,NG,1612983812,15,10.3744,10.7288,80.15,9.06
Ormara,100,PK,1612983660,51,25.2088,64.6357,72.61,8.1
Peniche,73,PT,1612983812,94,39.3558,-9.3811,59.0,11.99
Carberry,1,CA,1612983812,63,49.8689,-99.3602,-16.6,13.8
Broome,1,US,1612983812,45,42.2506,-75.833,25.0,6.91
Arrondissement de Bourges,90,FR,1612983812,86,47.25,2.4167,26.6,11.5
Gagra,42,GE,1612983812,87,43.3283,40.2239,50.0,2.24
Carnarvon,0,AU,1612983813,88,-24.8667,113.6333,71.6,24.16
Port Blair,0,IN,1612983813,69,11.6667,92.75,76.59,9.53
Kruisfontein,5,ZA,1612983813,84,-34.0033,24.7314,73.99,3.0
